country,infected,deaths,recovered,death_percent,recovered_percent
Gabon,25384,164,25166,0.6,99.1
Suriname,25287,645,21610,2.6,85.5
Guyana,22458,535,21166,2.4,94.2
Mayotte,20176,174,2964,0.9,14.7
Haiti,20157,555,14248,2.8,70.7
French Polynesia,19875,148,19206,0.7,96.6
Guadeloupe,19503,242,2250,1.2,11.5
Martinique,19149,111,104,0.6,0.5
Seychelles,18189,94,17538,0.5,96.4
Papua New Guinea,17717,192,17324,1.1,97.8
Taiwan,15674,787,14110,5.0,90.0
Togo,15624,152,14385,1.0,92.1
Somalia,15358,809,7498,5.3,48.8
Tajikistan,15004,121,14470,0.8,96.4
Andorra,14678,128,14210,0.9,96.8
Bahamas,14677,286,12570,1.9,85.6
Mali,14574,532,13941,3.7,95.7
Belize,14163,337,13420,2.4,94.8
Burkina Faso,13573,169,13369,1.2,98.5
Curaçao,13567,126,12795,0.9,94.3
Congo,13186,178,12421,1.3,94.2
Lesotho,12908,374,6649,2.9,51.5
Hong Kong,11985,212,11713,1.8,97.7
Aruba,11651,110,11141,0.9,95.6
Djibouti,11651,156,11488,1.3,98.6
South Sudan,11049,119,10514,1.1,95.2
Timor-Leste,10898,26,9889,0.2,90.7
Nicaragua,9470,195,4225,2.1,44.6
Channel Islands,9208,86,6558,0.9,71.2
Equatorial Guinea,8880,123,8637,1.4,97.3
Benin,8394,108,8136,1.3,96.9
Iceland,7959,30,6716,0.4,84.4
Gambia,7709,212,6600,2.8,85.6
Central African Republic,7151,98,6859,1.4,95.9
Burundi,7080,9,773,0.1,10.9
Yemen,7061,1375,4185,19.5,59.3
Eritrea,6545,34,6419,0.5,98.1
Sierra Leone,6279,120,4260,1.9,67.8
Niger,5616,195,5338,3.5,95.0
Saint Lucia,5581,89,5368,1.6,96.2
Liberia,5396,148,2715,2.7,50.3
San Marino,5130,90,5005,1.8,97.6
Chad,4973,174,4792,3.5,96.4
Gibraltar,4965,94,4471,1.9,90.1
Isle of Man,4666,29,3026,0.6,64.9
Guinea-Bissau,4451,75,3897,1.7,87.6
Barbados,4379,48,4198,1.1,95.9
Comoros,4028,147,3865,3.6,96.0
Mauritius,3913,19,1854,0.5,47.4
Liechtenstein,3085,59,3009,1.9,97.5
Monaco,2873,33,2700,1.1,94.0
New Zealand,2870,26,2799,0.9,97.5
Sint Maarten,2770,34,2655,1.2,95.8
Saint Martin,2579,38,1399,1.5,54.2
Bermuda,2553,33,2495,1.3,97.7
Bhutan,2515,2,2374,0.1,94.4
British Virgin Islands,2500,31,1914,1.2,76.6
Saint Vincent and the Grenadines,2291,12,2229,0.5,97.3
Caribbean Netherlands,1707,17,1661,1.0,97.3
Antigua and Barbuda,1303,43,1235,3.3,94.8
Tanzania,1017,21,183,2.1,18.0
Faroe Islands,983,2,943,0.2,95.9
Diamond Princess,712,13,699,1.8,98.2
Cayman Islands,643,2,631,0.3,98.1
Saint Kitts and Nevis,589,3,542,0.5,92.0
Wallis and Futuna,445,7,438,1.6,98.4
Brunei,337,3,280,0.9,83.1
Dominica,210,0,200,0.0,95.2
Grenada,164,1,161,0.6,98.2
